num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,cluster_szs,additive_violations,max_add_violation,objective,FairType,name,num_colors
10,26.435283288999926,0.001,"[0.5347655607166449, 0.32329840743198407]","[0.7096315957629826, 0.4485610361522748]",0.5514389638477253,"[0, 0, 0.5514389638477253, 0.5514389638477253, 0.22329840743198406, 0.057186090284506885, 0.051559276997201475, 0.4264389638477252, 0.08268896384772523, 0.01121049534407198]",0.5514389638477253,"[3789, 0, 3, 3, 20, 87, 92, 8, 64, 455]","[0.0, 0.0, 1.6543168915431758, 1.6543168915431758, 4.465968148639681, 4.975189854752099, 4.7434534837425355, 3.411511710781802, 5.292093686254415, 5.100775381552751]",5.292093686254415,9.871214195838213,FairType.DET,bank_binary_marital,2
10,25.31702034400223,0.002,"[0.5247655607166449, 0.31329840743198406]","[0.7196315957629826, 0.4585610361522748]",0.5414389638477253,"[0, 0, 0.5414389638477253, 0.5414389638477253, 0.34143896384772526, 0.10962078202954345, 0.10450719864077526, 0.5414389638477253, 0.1604865828953443, 0.022269961042487352]",0.5414389638477253,"[3787, 0, 3, 3, 20, 88, 91, 9, 63, 457]","[0.0, 0.0, 1.6243168915431758, 1.6243168915431758, 6.8287792769545055, 9.646628818599824, 9.510155076310548, 4.872950674629528, 10.11065472240669, 10.17737219641672]",10.17737219641672,9.871214195838213,FairType.DET,bank_binary_marital,2
10,25.49437575200136,0.003,"[0.5147655607166449, 0.3032984074319841]","[0.7296315957629826, 0.46856103615227473]",0.5314389638477253,"[0, 0, 0.5314389638477253, 0.5314389638477253, 0.48598441839317985, 0.16362287189370228, 0.14945225358583025, 0.5314389638477253, 0.2249873509444995, 0.03018012786209162]",0.5314389638477253,"[3780, 0, 3, 3, 22, 87, 91, 8, 62, 465]","[0.0, 0.0, 1.5943168915431758, 1.5943168915431758, 10.691657204649957, 14.235189854752099, 13.600155076310553, 4.251511710781802, 13.94921575855897, 14.033759455872604]",14.235189854752099,9.871214195838213,FairType.DET,bank_binary_marital,2
10,24.96691786700103,0.004,"[0.5047655607166449, 0.2932984074319841]","[0.7396315957629827, 0.47856103615227474]",0.5214389638477253,"[0, 0, 0.5214389638477253, 0.5214389638477253, 0.5214389638477253, 0.2146207820295435, 0.19439730853088522, 0.5214389638477253, 0.3083242097493646, 0.041143235018191004]",0.5214389638477253,"[3780, 0, 3, 3, 23, 88, 91, 8, 61, 464]","[0.0, 0.0, 1.5643168915431758, 1.5643168915431758, 11.993096168497681, 18.886628818599828, 17.690155076310553, 4.171511710781802, 18.80777679471124, 19.090461048440627]",19.090461048440627,9.871214195838213,FairType.DET,bank_binary_marital,2
10,24.948827302003338,0.005,"[0.49476556071664496, 0.2832984074319841]","[0.7496315957629827, 0.48856103615227475]",0.5114389638477252,"[0, 0, 0.5114389638477252, 0.5114389638477252, 0.5114389638477252, 0.25301199755559045, 0.22774285187642854, 0.5114389638477252, 0.37810563051439194, 0.048756829606824176]",0.5114389638477252,"[3776, 0, 3, 3, 23, 89, 90, 8, 60, 469]","[0.0, 0.0, 1.5343168915431757, 1.5343168915431757, 11.76309616849768, 22.51806778244755, 20.496856668878568, 4.091511710781802, 22.686337830863515, 22.86695308560054]",22.86695308560054,9.871214195838213,FairType.DET,bank_binary_marital,2
10,25.173040843998024,0.006,"[0.48476556071664495, 0.2732984074319841]","[0.7596315957629827, 0.49856103615227476]",0.5014389638477252,"[0, 0, 0.5014389638477252, 0.5014389638477252, 0.5014389638477252, 0.29919177283648923, 0.2732984074319841, 0.5014389638477252, 0.45305186707353173, 0.060984182378905516]",0.5014389638477252,"[3773, 0, 3, 3, 22, 89, 90, 8, 62, 471]","[0.0, 0.0, 1.5043168915431757, 1.5043168915431757, 11.031657204649955, 26.62806778244754, 24.596856668878566, 4.011511710781802, 28.089215758558968, 28.723549900464498]",28.723549900464498,9.871214195838213,FairType.DET,bank_binary_marital,2
10,24.97411587499664,0.007,"[0.47476556071664494, 0.26329840743198407]","[0.7696315957629827, 0.5085610361522748]",0.49143896384772523,"[0, 0, 0.49143896384772523, 0.49143896384772523, 0.49143896384772523, 0.3341355930612083, 0.26329840743198407, 0.49143896384772523, 0.49143896384772523, 0.06838315319469593]",0.49143896384772523,"[3773, 0, 3, 3, 21, 89, 90, 8, 62, 472]","[0.0, 0.0, 1.4743168915431757, 1.4743168915431757, 10.32021824080223, 29.73806778244754, 23.696856668878567, 3.931511710781802, 30.469215758558963, 32.27684830789648]",32.27684830789648,9.871214195838213,FairType.DET,bank_binary_marital,2
10,24.958897273994808,0.008,"[0.46476556071664493, 0.25329840743198406]","[0.7796315957629826, 0.5185610361522748]",0.4814389638477252,"[0, 0, 0.4814389638477252, 0.4814389638477252, 0.4814389638477252, 0.3803153683421072, 0.25329840743198406, 0.4814389638477252, 0.4814389638477252, 0.07793306296434313]",0.4814389638477252,"[3766, 0, 3, 2, 21, 89, 90, 9, 62, 479]","[0.0, 0.0, 1.4443168915431757, 0.9628779276954504, 10.11021824080223, 33.84806778244754, 22.796856668878565, 4.332950674629527, 29.849215758558962, 37.32993715992036]",37.32993715992036,9.871214195838213,FairType.DET,bank_binary_marital,2
10,24.962138846996822,0.009000000000000001,"[0.4547655607166449, 0.24329840743198405]","[0.7896315957629826, 0.5285610361522748]",0.4714389638477252,"[0, 0, 0.4714389638477252, 0.4714389638477252, 0.4714389638477252, 0.4152591885668263, 0.24329840743198405, 0.4714389638477252, 0.4714389638477252, 0.08606570302946834]",0.4714389638477252,"[3770, 0, 3, 3, 21, 89, 90, 8, 60, 477]","[0.0, 0.0, 1.4143168915431756, 1.4143168915431756, 9.900218240802229, 36.95806778244754, 21.896856668878566, 3.7715117107818017, 28.286337830863513, 41.0533403450564]",41.0533403450564,9.871214195838213,FairType.DET,bank_binary_marital,2
10,24.838836275004724,0.01,"[0.44476556071664497, 0.23329840743198407]","[0.7996315957629826, 0.5385610361522748]",0.4614389638477252,"[0, 0, 0.4614389638477252, 0.4614389638477252, 0.4614389638477252, 0.4614389638477252, 0.2836611860699474, 0.4614389638477252, 0.4614389638477252, 0.09551135106455191]",0.4614389638477252,"[3769, 0, 3, 3, 21, 89, 90, 8, 59, 479]","[0.0, 0.0, 1.3843168915431756, 1.3843168915431756, 9.69021824080223, 41.06806778244754, 25.529506746295265, 3.6915117107818016, 27.22489886701579, 45.749937159920364]",45.749937159920364,9.871214195838213,FairType.DET,bank_binary_marital,2
