num_clusters,Run_Time,m,lowers,uppers,budgetViolation,perClusterVio,worstPossibleFairVio,objective,FairType,name,num_colors
10,680.1108677130001,0.01,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",0.00014839122467574795,"[0, 4.993164074690304e-05, 0.00014839122467574795]",0.48262710331710934,13.579056895761177,FairType.ROBUST,adult_sex,2
10,588.305341089,0.020000000000000004,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",0.0001312709760757924,"[0, 0.0001312709760757924, 9.917315688182105e-05]",0.48262710331710934,13.622922399746615,FairType.ROBUST,adult_sex,2
10,665.374133091,0.030000000000000006,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",4.455566629474328e-05,"[0, 4.455566629474328e-05, 3.292115211173119e-05]",0.48262710331710934,13.654295927790931,FairType.ROBUST,adult_sex,2
10,672.3326852929999,0.04000000000000001,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",8.628577450420227e-05,"[0, 4.590046076202725e-05, 8.628577450420227e-05]",0.48262710331710934,13.676471382715992,FairType.ROBUST,adult_sex,2
10,417.6496226270001,0.05000000000000001,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",0.0,[0],0.48262710331710934,15.074804424474424,FairType.ROBUST,adult_sex,2
10,419.9175770869997,0.06000000000000001,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",0.0,[0],0.48262710331710934,15.074804424474424,FairType.ROBUST,adult_sex,2
10,313.5441449760001,0.07,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",0.0,[0],0.48262710331710934,15.074804424474424,FairType.ROBUST,adult_sex,2
10,313.2002365500002,0.08,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",0.0,[0],0.48262710331710934,15.074804424474424,FairType.ROBUST,adult_sex,2
10,314.38470426099957,0.09000000000000001,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",0.0,[0],0.48262710331710934,15.074804424474424,FairType.ROBUST,adult_sex,2
10,318.0698391039996,0.1,"[0.2068150578913424, 0.4809279536869598]","[0.5173728966828907, 0.8557838791464909]",0.0,[0],0.48262710331710934,15.074804424474424,FairType.ROBUST,adult_sex,2
